country,brand,cars_sold,country_total,share
Canada,Chrysler,9511,2033585,0.0046769621137055985
Canada,Dodge,52177,2033585,0.025657644012913157
Canada,Fiat,645,2033585,0.00031717385798970784
Canada,Ford,289967,2033585,0.14258907299178544
Canada,Freightliner,12622,2033585,0.006206772768288515
Canada,GMC,94241,2033585,0.04634229697799699
Canada,Genesis,1441,2033585,0.0007086008207180915
Canada,Hino,3273,2033585,0.0016094729258919593
Canada,Honda,175042,2033585,0.08607557589183634
Canada,Hyundai,127839,2033585,0.06286385865356009
Canada,Infiniti,12581,2033585,0.006186611329253511
Canada,International,7036,2033585,0.003459899635372999
Canada,Isuzu,1688,2033585,0.0008300611973436075
Canada,Jaguar,4349,2033585,0.00213858776495696
Canada,Jeep,71583,2033585,0.03520039732787172
Canada,Kenworth,5953,2033585,0.0029273425993995824
Canada,Kia,73009,2033585,0.035901622012357484
Canada,Land Rover,10196,2033585,0.005013805668314823
Canada,Lexus,24111,2033585,0.011856401379829217
Canada,Lincoln,8197,2033585,0.004030812579754473
Canada,MINI,6945,2033585,0.0034151510755635983
Canada,Mazda,73869,2033585,0.036324520489677097
Canada,Mercedes-Benz,49413,2033585,0.024298467976504548
Canada,Mitsubishi,25237,2033585,0.012410103339668615
Canada,Nissan,136536,2033585,0.06714054244105852
Canada,Peterbilt,5670,2033585,0.0027881794958165016
Canada,Porsche,8904,2033585,0.004378474467504432
Canada,Ram,89562,2033585,0.044041434215929015
Canada,Subaru,58070,2033585,0.028555482067383463
Canada,Tesla,9647,2033585,0.004743839082211956
Canada,Toyota,207535,2033585,0.1020537621982853
Canada,VW,72210,2033585,0.03550871982238264
Canada,Volvo Cars,9217,2033585,0.00453238984355215
Canada,Western Star,3215,2033585,0.00158095186579366
Canada,smart,345,2033585,0.00016965113334333208
Chile,Anhui Jianghuai Automobile,8958,431869,0.020742401052170914
Chile,Audi,1890,431869,0.004376327080665664
Chile,BAIC Motor,1922,431869,0.004450423623830375
Chile,BMW,4289,431869,0.009931252301044993
Chile,Beiqi Foton Motor,2987,431869,0.006916449201030868
Chile,Chery,8261,431869,0.01912848572136458
Chile,Chevrolet,37716,431869,0.08733203818750593
Chile,Chongqing Changan Automobile,7805,431869,0.018072609981267466
Chile,Chrysler,8574,431869,0.019853242534194397
Chile,Citroen,8879,431869,0.020559475211233035
Chile,DAF,168,431869,0.00038900685161472574
Chile,DFSK,1870,431869,0.004330016741187721
Chile,DS,126,431869,0.0002917551387110443
Chile,Dongfeng Motor,3484,431869,0.008067261137057765
Chile,FAW,105,431869,0.0002431292822592036
Chile,Fiat,6862,431869,0.01588907747488243
Chile,Ford,19397,431869,0.04491408274268355
Chile,Freightliner,625,431869,0.0014471981086857358
Chile,GreatWall,7228,431869,0.016736556687328798
Chile,Hino,1011,431869,0.002340987660610046
Chile,Honda,4200,431869,0.009725171290368144
Chile,Hyundai,33397,431869,0.07733132037724402
Chile,International,387,431869,0.0008961050688982076
Chile,Iveco,287,431869,0.0006645533715084898
Chile,Jaguar,300,431869,0.0006946550921691531
Chile,Kia,32432,431869,0.07509684649743326
Chile,LDV,2929,431869,0.006782149216544832
Chile,Land Rover,588,431869,0.0013615239806515401
Chile,Lexus,341,431869,0.0007895912880989374
Chile,MAN,362,431869,0.0008382171445507782
Chile,MG,5406,431869,0.01251768476088814
Chile,MINI,491,431869,0.001136918834183514
Chile,Mahindra & Mahindra,3050,431869,0.00706232677038639
Chile,Mazda,19752,431869,0.045736091268417045
Chile,Mercedes-Benz,10209,431869,0.023639112786516283
Chile,Mitsubishi,15720,431869,0.03639992682966362
Chile,Mitsubishi Fuso,952,431869,0.002204372159150113
Chile,Nissan,30535,431869,0.07070431079795031
Chile,Opel,661,431869,0.001530556719746034
Chile,Other,3184,431869,0.007372606044888612
Chile,Peugeot,19246,431869,0.04456443967962507
Chile,Porsche,324,431869,0.0007502274995426854
Chile,Renault,13226,431869,0.030625027496764066
Chile,Scania,1376,431869,0.003186151356082516
Chile,Shenyang Brilliance Jinbei Automobile,1015,431869,0.0023502497285056347
Chile,Skoda,676,431869,0.0015652894743544918
Chile,Ssangyong,7385,431869,0.017100092852230655
Chile,Subaru,7992,431869,0.01850561165538624
Chile,Suzuki,33238,431869,0.07696315317839438
Chile,Toyota,29951,431869,0.06935204888519435
Chile,VW,17077,431869,0.039542083363242095
Chile,Volare,229,431869,0.0005302533870224535
Chile,Volvo Cars,2191,431869,0.005073297689808715
Chile,Yuejin,158,431869,0.000365851681875754
Chile,Yutong Bus,114,431869,0.00026396893502427817
Chile,Zhengzhou Nissan Automobile,331,431869,0.0007664361183599656
China,Acura,9424,28075318,0.0003356685042712606
China,Aerospace,456,28075318,1.624202440022229e-05
China,Anhui Ankai Automobile,7337,28075318,0.0002613327478605941
China,Anhui Jianghuai Automobile,442303,28075318,0.015754158154148067
China,Audi,620305,28075318,0.022094317863113784
China,BAIC Changzhou Automotive,917,28075318,3.266214117325403e-05
China,BMW,466053,28075318,0.016600096924992976
China,BYD Auto,520687,28075318,0.01854607666420733
China,Baoding Changan Bus,75020,28075318,0.0026720979616330614
China,Baojun,879077,28075318,0.03131138176244344
China,Baotou Beiben Heavy-Duty Truck,8736,28075318,0.0003111629937726796
China,Beijing,177089,28075318,0.006307640041690712
China,Beijing Automobile Works,13414,28075318,0.0004777862177732056
China,Beijing New Energy Vehicle,95634,28075318,0.003406337196251882
China,Beijing North Huade Neoplan Bus,915,28075318,3.259090422413025e-05
China,Beiqi Foton Motor,502559,28075318,0.017900384957349372
China,Bestune/Besturn,87493,28075318,0.0031163671948435277
China,Bisu Automobile,25320,28075318,0.0009018597759070797
China,Borgward,32911,28075318,0.0011722396163063942
China,Brilliance,80005,28075318,0.002849656057324088
China,Buick,1068199,28075318,0.03804761890853738
China,CRRC,5959,28075318,0.00021225048991430835
China,Cadillac,228043,28075318,0.008122543794517306
China,Changan/Chana,1125219,28075318,0.04007858432805641
China,Changfeng Motors,810,28075318,2.8850964395131695e-05
China,Changhe,71145,28075318,0.002534076372705734
China,Chengdu Dayun Automobile,82141,28075318,0.002925737118988287
China,Chery,492431,28075318,0.017539641046986538
China,Chevrolet,673375,28075318,0.02398459030811334
China,China FAW Group Corp.,336844,28075318,0.011997869445325606
China,China National Heavy Duty Truck,326622,28075318,0.011633777398353957
China,China Yituo Group,2072,28075318,7.380147929223812e-05
China,Citroen,114197,28075318,0.004067522939544264
China,DEARCC,3918,28075318,0.00013955318333348888
China,DORCEN,20018,28075318,0.0007130106237799337
China,DS,3867,28075318,0.00013773664113083244
China,Daewoo Bus Corporation,342,28075318,1.2181518300166716e-05
China,Dandong Huanghai Automobile,27838,28075318,0.0009915470948539211
China,Denza,1974,28075318,7.03108687851728e-05
China,Dongfeng Motor,946409,28075318,0.033709644891644686
China,Emgrand,553102,28075318,0.019700649517131026
China,Enranger,13724,28075318,0.0004888279448873918
China,FAW Jilin Automobile,36248,28075318,0.0012910984659194242
China,FQT Motor,3555,28075318,0.00012662367706752243
China,Fengshen,95311,28075318,0.0033948324289683916
China,Fiat,381,28075318,1.3570638808080464e-05
China,Foday,9679,28075318,0.0003447512152845428
China,Ford,383462,28075318,0.013658331492451839
China,Foton Gratour,9537,28075318,0.0003396933918967543
China,Fujian Benz Automotive,157,28075318,5.592100506216884e-06
China,Fujian New Forta Auto Industry,6465,28075318,0.0002302734380426252
China,GAC,535168,28075318,0.019061867794338074
China,Geely,827322,28075318,0.02946794761149277
China,Geely Sichuan Commercial Vehicle,5024,28075318,0.00017894721619894028
China,Gleagle,3064,28075318,0.00010913500605763397
China,GreatWall,143976,28075318,0.005128205493522816
China,Guilin Bus Industry Group,2969,28075318,0.00010575125097425433
China,Guizhou Space Yuantong Automobile Mfg.,168,28075318,5.983903726397685e-06
China,HAWTAI,120682,28075318,0.004298508747078127
China,Haima,22464,28075318,0.0008001334125583191
China,Haima,41015,28075318,0.0014608917341559587
China,Haval,766062,28075318,0.02728595985983133
China,Hebei Changzheng Automobile Mfg.,108,28075318,3.846795252684226e-06
China,Hebei Zhongxing Automobile Mfg.,30876,28075318,0.001099756020572946
China,Henan Shaolin Auto,263,28075318,9.367658809777328e-06
China,Hino,4303,28075318,0.0001532662960398169
China,Honda,1465333,28075318,0.0521929261851994
China,Hongqi,33028,28075318,0.0011764069778301353
China,Hualing Automobile,21733,28075318,0.0007740963076535767
China,Huansu,158083,28075318,0.0056306753141674125
China,Huasong,1069,28075318,3.807614930666146e-05
China,Hubei Sahuan Hanyang Special Automobile,144,28075318,5.129060336912302e-06
China,Hubei Sanjiang Space Wanshan Special Vehicle,1060,28075318,3.775558303560444e-05
China,Hubei Tri-ring Special Truck,10083,28075318,0.00035914107900754676
China,Hyundai,810177,28075318,0.02885726886512915
China,Infiniti,28868,28075318,0.0010282341236526689
China,Isuzu,3000,28075318,0.00010685542368567295
China,JETOUR,40009,28075318,0.0014250595487466963
China,JMC,71630,28075318,0.002551351332868251
China,Jaguar,27310,28075318,0.0009727405402852427
China,Jeep,124800,28075318,0.004445185625323995
China,Jia Bao,3375,28075318,0.00012021235164638206
China,Jiangxi Isuzu Motors,35007,28075318,0.0012468959389881175
China,Jiangxi Jiangling Holdings Ltd.,270959,28075318,0.009651146248815419
China,Jinbei,92389,28075318,0.003290755246298546
China,Junpai,17669,28075318,0.0006293428270340518
China,KANDI,3900,28075318,0.00013891205079137484
China,Karry,56748,28075318,0.0020212771944381897
China,Kia,371262,28075318,0.013223786102796769
China,LYNK & CO,120414,28075318,0.004288962995895541
China,Land Rover,40481,28075318,0.0014418714687399088
China,Liebao,63861,28075318,0.00227463140399692
China,Lifan,71621,28075318,0.002551030766597194
China,Lotus,308,28075318,1.0970490165062422e-05
China,Lushan,3308,28075318,0.00011782591385073536
China,Luxgen,6779,28075318,0.00024145763905505897
China,MG,236951,28075318,0.00843983316591463
China,Maxus,30971,28075318,0.0011031397756563256
China,Mazda,281358,28075318,0.010021542765784522
China,Mercedes-Benz,512445,28075318,0.018252509196868223
China,Mitsubishi,144018,28075318,0.005129701469454416
China,NIO,12807,28075318,0.0004561658037141378
China,Nanjing Golden Dragon Bus,8596,28075318,0.0003061764073340149
China,Nanjing Iveco Automobile,31000,28075318,0.0011041727114186205
China,Nissan,1177736,28075318,0.041949159756623236
China,ORA,3515,28075318,0.0001251989380850468
China,OuLing Automotiv,50016,28075318,0.0017814936236875394
China,Oushang,435,28075318,1.5494036434422578e-05
China,Peugeot,139162,28075318,0.004956738156981872
China,Qingling Motors,66657,28075318,0.002374220658871967
China,Qoros Auto,62045,28075318,0.002209948254192526
China,Renault,50112,28075318,0.001784912997245481
China,Roewe,464934,28075318,0.01656023985195822
China,SAIC MAXUS Automotive,95123,28075318,0.003388136155750756
China,SAIC-Iveco Hongyan Commercial Vehicle,58037,28075318,0.002067189408148467
China,SITECH,2825,28075318,0.00010062219063734203
China,SWM,58895,28075318,0.002097750059322569
China,Shaanxi Automobile Group,183227,28075318,0.006526266238551599
China,Shandong KAMA Automobile,48024,28075318,0.0017105416223602524
China,Shanghai Sunwin Bus Corp.,818,28075318,2.9135912191626825e-05
China,Shenyang Brilliance Jinbei Automobile,673,28075318,2.397123338015263e-05
China,Shenyang Jinbei Vehicle Mfg.,79481,28075318,0.002830991976653657
China,Sichuan FAW Toyota Motor,4000,28075318,0.00014247389824756392
China,Sichuan Nanjun Automobile,34448,28075318,0.0012269852117080206
China,Skoda,352000,28075318,0.012537703045785626
China,Skywell,169,28075318,6.019522200959576e-06
China,Soueast,86561,28075318,0.0030831707765518455
China,Sunlong,6854,28075318,0.00024412902464720078
China,Suzuki,54743,28075318,0.001949862152941598
China,TRAUM,21521,28075318,0.0007665451910464558
China,Toyota,1298568,28075318,0.046253011274885646
China,VW,3129744,28075318,0.11147670704923093
China,Venucia,132068,28075318,0.0047040606984398185
China,Volvo Cars,169555,28075318,0.006039290454341426
China,WEY,139486,28075318,0.0049682785427399255
China,Wanxiang Group,446,28075318,1.588583965460338e-05
China,Weiwang,15736,28075318,0.0005604923157059165
China,Wuling,1180930,28075318,0.04206292516437392
China,XPeng,371,28075318,1.3214454062461554e-05
China,Xiali,1122,28075318,3.9963928458441684e-05
China,Xiamen Golden Dragon Van,20510,28075318,0.0007305349132643841
China,Xiamen King Long Motor Group,11778,28075318,0.00041951439338995197
China,Xiamen King Long United Automotive Industry,29639,28075318,0.001055695967539887
China,Xuzhou XCMG Automobile Manufacturing,17308,28075318,0.0006164845577172092
China,YUDO Auto,7344,28075318,0.00026158207718252735
China,Yangzhou Yaxing Motor Coach,4748,28075318,0.00016911651721985839
China,Yema,19644,28075318,0.0006996893142937865
China,Yibin Kaiyi,18061,28075318,0.0006433052690623131
China,Yinxiang,1348,28075318,4.801370370942904e-05
China,Yulu,180,28075318,6.411325421140377e-06
