Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Netherlands,NLD,47826.8191172843
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,New Caledonia,NCL,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,New Zealand,NZL,40365.1957031236
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nicaragua,NIC,2086.00952292731
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Niger,NER,513.626785879833
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nigeria,NGA,2512.1923919651
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,North Macedonia,MKD,5184.69447115249
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Northern Mariana Islands,MNP,20533.1275098717
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Norway,NOR,75953.5819514803
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Oman,OMN,17393.5489929358
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Pakistan,PAK,1491.35068353918
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Palau,PLW,15115.3663104541
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Panama,PAN,14880.6628033553
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Papua New Guinea,PNG,2749.11777751427
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Paraguay,PRY,5871.28131096779
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Peru,PER,6574.32898711067
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Philippines,PHL,3500.93378921064
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Poland,POL,14332.9158910011
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Portugal,PRT,21057.6174784232
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Puerto Rico,PRI,29753.3640818799
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Qatar,QAT,59757.7960864565
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Romania,ROU,10714.0153591551
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,9739.900390625
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Rwanda,RWA,830.466051894403
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Samoa,WSM,4337.12614876723
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,San Marino,SMR,43753.8613849829
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sao Tome and Principe,STP,1667.85791865606
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Saudi Arabia,SAU,20083.4598194673
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Senegal,SEN,1360.23927843023
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Serbia,SRB,6261.52713908381
